,real x star 1,real y star 1,real x star 2,real y star 2,x fit star 1,y fit star 1,x stderr,y stderr,amplitude error,separation,star1 flux,star2 flux
39,5,5,5,9.8,5.037379108198601,4.97708011444053,0.05154548377398819,0.05050748156938403,0.0643783846274627,4.800000000000001,1000,1000
40,5,5,5,9.8,4.9280257497682145,5.019004168846944,0.049591951974408376,0.04921722917927699,0.061839543401970766,4.800000000000001,1000,1000
41,5,5,5,9.8,4.951946049967074,4.989550990240082,0.04730969456331572,0.04691718122656913,0.05858638172739076,4.800000000000001,1000,1000
42,5,5,5,9.8,5.114817618695713,5.095076181550971,0.04415063550036692,0.04340082620620238,0.05472833249583365,4.800000000000001,1000,1000
43,5,5,5,9.8,4.964577891857286,4.982784941688536,0.050760795979291014,0.050840697452827224,0.0638660839947419,4.800000000000001,1000,1000
44,5,5,5,9.8,4.9716646579283,4.9541698956039735,0.04683032924803721,0.04718359347047945,0.06013282334726715,4.800000000000001,1000,1000
45,5,5,5,9.8,4.984776303415487,5.001821110939797,0.04880553246825016,0.04819894537135885,0.06089886786621665,4.800000000000001,1000,1000
46,5,5,5,9.8,4.987746463758403,4.898350482777042,0.056298067169631615,0.05638622589024739,0.07113481002422824,4.800000000000001,1000,1000
47,5,5,5,9.8,4.996373939309636,5.056294972482101,0.04621734674160233,0.045778254715600604,0.05777951170656679,4.800000000000001,1000,1000
48,5,5,5,9.8,4.968017898353766,4.940916557954849,0.05090315124774989,0.05078742368468453,0.06405878273025321,4.800000000000001,1000,1000
49,5,5,5,9.8,4.947416118386316,5.0030755098837485,0.049493606553491894,0.04932502888627752,0.06255831421386983,4.800000000000001,1000,1000
50,5,5,5,9.8,5.025381508856035,4.949861468230163,0.05260620677459902,0.053174369936724114,0.06632681632958162,4.800000000000001,1000,1000
51,5,5,5,9.8,4.987716062198359,5.006728847727904,0.05072557025356589,0.05016337407737345,0.06275458510953086,4.800000000000001,1000,1000
52,5,5,5,9.8,5.065095218682244,5.009788510686129,0.04851045523043815,0.047761497252574496,0.05978213040166181,4.800000000000001,1000,1000
53,5,5,5,9.8,5.030762622417883,5.026829086790886,0.05261435186471861,0.05262173142592101,0.06536341736012297,4.800000000000001,1000,1000
54,5,5,5,9.8,5.060043765869163,4.92667062113069,0.048650035979831474,0.048393884387573534,0.06055008981718915,4.800000000000001,1000,1000
55,5,5,5,9.8,5.0122930228814155,4.972715346998328,0.04579082488813816,0.04509575923209605,0.055911101578686194,4.800000000000001,1000,1000
56,5,5,5,9.8,4.90819162570362,4.995213776205693,0.05113264792275752,0.05028444620771316,0.06314982728230466,4.800000000000001,1000,1000
57,5,5,5,9.8,4.98513458801146,5.095102235982279,0.048264965883081414,0.04855653806232727,0.05998244200856795,4.800000000000001,1000,1000
58,5,5,5,9.8,5.023830034234316,5.091696151770759,0.049300561414820324,0.04928547881300121,0.06149844242979777,4.800000000000001,1000,1000
