,real x,real y,x fit,y fit,x stderr,y stderr
1110,5,9.5,4.991256535277725,9.49398723004516,0.02218024023647177,0.030900895781008877
1111,5,9.5,5.032443287322251,9.521501920066763,0.021123803912621173,0.030770451917995732
1112,5,9.5,4.978480495661269,9.468941816046096,0.020704512830797776,0.02880926322210288
1113,5,9.5,5.000008657738194,9.489820150454463,0.022449436315196337,0.03188920504935604
1114,5,9.5,5.016784570622741,9.496722019019208,0.0219741316245507,0.031092716438491166
1115,5,9.5,4.980563305359596,9.475742746707954,0.02211369208160801,0.030843057488580038
1116,5,9.5,4.99270334058191,9.506466259990262,0.02340794491206977,0.033455882869411126
1117,5,9.5,5.000282300990274,9.48718089625774,0.021551684093200976,0.030464772390962926
1118,5,9.5,4.980382535139836,9.593443112347547,0.019553716238346702,0.030264427775467964
1119,5,9.5,4.9898522540638295,9.507114279424023,0.0250859354349885,0.03573556876792207
1120,5,9.5,4.958638513628592,9.479528361988445,0.02231247423563213,0.031056826764008626
1121,5,9.5,4.99704139633346,9.492382570303452,0.01959169343879837,0.02774331062298044
1122,5,9.5,4.9877595243756705,9.4919667650656,0.018502669530500986,0.02600965431216486
1123,5,9.5,4.988313953979628,9.474839837027693,0.02117891610070413,0.029285398873168972
1124,5,9.5,4.995935724017504,9.467972506468833,0.020497819424022536,0.028261360590584875
1125,5,9.5,5.00728020021251,9.54818602598267,0.01997811436718505,0.02972835693386358
1126,5,9.5,5.038906738140559,9.488735735932554,0.02235045404680276,0.03183837619954698
1127,5,9.5,5.018496823379064,9.51643650531216,0.02303628810975133,0.032786098530666045
1128,5,9.5,4.998225632346729,9.541268324301411,0.019769645912017516,0.02931387654705519
1129,5,9.5,4.991898828671675,9.447234755284367,0.02117247544239437,0.029511924855610355
1130,5,9.5,5.0338111030407395,9.533200049726744,0.02164531857904924,0.031675628837535136
1131,5,9.5,5.016539894305684,9.493876162475278,0.022680835270552722,0.031840230815839345
1132,5,9.5,4.943206008233361,9.540778754127212,0.024968027363603238,0.03674997261858695
1133,5,9.5,5.03370279658113,9.495377341268268,0.02079669046400741,0.029019949564475147
1134,5,9.5,5.044848429686576,9.5349495364111,0.022583222988392708,0.03260044964530698
1135,5,9.5,5.051678098934668,9.544317506258926,0.022759076087644402,0.03357999770368488
1136,5,9.5,5.019015835901501,9.433458284501437,0.019179310456656707,0.026524042084015834
1137,5,9.5,5.004148485350425,9.46060616158919,0.019493761025309454,0.026795060266109144
1138,5,9.5,4.988679607046607,9.47498309577468,0.019893994729332537,0.02772155584852822
1139,5,9.5,4.992164722509803,9.432003229413162,0.02246928336178931,0.031002717794960492
1140,5,9.5,4.989104656166107,9.472802105926718,0.021403695303332547,0.029851743341911343
1141,5,9.5,4.99753110941665,9.467925960439525,0.019264660214059325,0.026755328955630393
1142,5,9.5,4.956255294335776,9.416013716084366,0.021582645276119528,0.0293038773710085
1143,5,9.5,5.047506543586979,9.492803854676724,0.020026424810442433,0.02799926455219727
1144,5,9.5,4.984090010960561,9.48256311456776,0.02436140389200426,0.03452065200727135
