,redchi,real x star 1,real y star 1,real x star 2,real y star 2,x fit star 1,y fit star 1,x stderr,y stderr,separation,star1 flux,star2 flux,freqs analyzed
4442,1.125093948629577,5,5,5,6.5,5.048997507026707,4.995644174653135,0.016158938437776358,0.012748525548020705,1.5,1000,1000,"[0.24783128, 2.52700119, 4.79305406, 5.79621597]"
4443,0.8800395948188571,5,5,5,6.5,6.451803751448155,4.996895583490394,0.027086620989972623,0.021256503100136947,1.5,1000,1000,"[6.2921917, 30]"
4444,0.8944936200656634,5,5,5,6.5,6.489589186730927,4.995333262408328,0.028084857696688167,0.022570538273459333,1.5,1000,1000,"[6.10200123, 30]"
4445,0.832842502352289,5,5,5,6.5,6.434462905621449,4.971240301652653,0.030683671175202824,0.023833052336787817,1.5,1000,1000,"[2.83989113, 30]"
4446,0.9819742184988315,5,5,5,6.5,6.448281981773797,5.019805301702415,0.02998035343988097,0.023468476137504534,1.5,1000,1000,"[1.9042865, 30]"
4447,2.8010207317405604,5,5,5,6.5,6.709111277818664,5.03265894872206,0.05907787200932802,0.050771531793328294,1.5,1000,1000,"[6.36944641, 30]"
4448,0.9901018963100913,5,5,5,6.5,5.017927962086478,4.979112380900999,0.031112112347772516,0.024958605820134212,1.5,1000,1000,"[5.79621597, 30]"
4449,0.8577264523599926,5,5,5,6.5,5.074262573567058,5.004465135801124,0.03029112110537802,0.023774683601367527,1.5,1000,1000,"[4.79305406, 30]"
4450,3.2293450234931136,5,5,5,6.5,4.781895522984644,4.973435576427162,0.06982048850617022,0.059653109350637876,1.5,1000,1000,"[3.34108026, 30]"
4451,0.7582848074271532,5,5,5,6.5,5.017032478421491,4.998867422956874,0.028165832420629502,0.022628887294596847,1.5,1000,1000,"[2.52700119, 30]"
4452,3.244241600914319,5,5,5,6.5,6.725171940539927,4.972936345877727,0.07049985865306954,0.0608347446755137,1.5,1000,1000,"[1.38013074, 30]"
4453,2.3329747447973714,5,5,5,6.5,4.74027546522774,5.0248574562135335,0.0691867747271385,0.05977644621906748,1.5,1000,1000,"[0.69039098, 30]"
4454,0.9719242585047714,5,5,5,6.5,5.082208249741661,5.001020085686814,0.03176545716953494,0.024901600724201084,1.5,1000,1000,"[0.24783128, 30]"
4455,3.1656644546703463,5,5,5,6.0,4.642171199281469,5.0328253323162775,0.054197345443594606,0.04669873930356253,1.0,1000,1000,"[0.69039098, 1.38013074, 3.34108026, 6.36944641]"
4456,1.0380713766672454,5,5,5,6.0,5.9775226134437816,5.0024679988494505,0.015623022789544675,0.012315193464550223,1.0,1000,1000,"[1.9042865, 2.83989113, 6.10200123, 6.2921917]"
4457,1.0496333265556583,5,5,5,6.0,5.026192019364356,5.016854675713206,0.015780183392346252,0.012503118306298052,1.0,1000,1000,"[0.24783128, 2.52700119, 4.79305406, 5.79621597]"
4458,0.9872829876028307,5,5,5,6.0,5.987642577527065,5.006500507383714,0.030439964762732075,0.024209651906384407,1.0,1000,1000,"[6.2921917, 30]"
4459,0.9054076382956214,5,5,5,6.0,5.942207698626527,5.003891752215276,0.03100387044586219,0.024386956757602697,1.0,1000,1000,"[6.10200123, 30]"
4460,0.9705596630390704,5,5,5,6.0,5.970618411413453,5.02208816439289,0.03228943176337403,0.02558307496360136,1.0,1000,1000,"[2.83989113, 30]"
4461,0.9370317732844277,5,5,5,6.0,6.013026318050981,4.970957497922143,0.031731820912312365,0.02555323598181423,1.0,1000,1000,"[1.9042865, 30]"
4462,2.135972330033661,5,5,5,6.0,6.339838967494023,5.061934450218781,0.07778220656809884,0.06806143172811029,1.0,1000,1000,"[6.36944641, 30]"
4463,0.9253480626618171,5,5,5,6.0,5.049102842271251,5.024209641583226,0.033844624804451204,0.026828778844570904,1.0,1000,1000,"[5.79621597, 30]"
4464,0.8946501684987567,5,5,5,6.0,5.027414527066461,5.0254589664488325,0.030299975785657775,0.024145588454801963,1.0,1000,1000,"[4.79305406, 30]"
4465,2.373503445106498,5,5,5,6.0,4.650596633988962,5.073786793254037,0.07519847123587887,0.06478695269958312,1.0,1000,1000,"[3.34108026, 30]"
4466,1.0669593368914634,5,5,5,6.0,5.027067129414184,5.019248747717718,0.033011038377835526,0.026308715656414593,1.0,1000,1000,"[2.52700119, 30]"
4467,1.600599852002793,5,5,5,6.0,4.676674202566841,5.0191039447284025,0.08830773624922893,0.07558503922544697,1.0,1000,1000,"[1.38013074, 30]"
4468,1.5517127260502555,5,5,5,6.0,6.301457902063768,5.020298769992689,0.09497349142813945,0.08265541198376256,1.0,1000,1000,"[0.69039098, 30]"
4469,0.9519214405072604,5,5,5,6.0,4.99310049989193,4.99298348826772,0.030686181745173676,0.02463063044578283,1.0,1000,1000,"[0.24783128, 30]"
4470,1.3164691920908602,5,5,5,5.5,5.917772913137883,5.000232326094421,0.06291606441532145,0.05638004059913851,0.5,1000,1000,"[0.69039098, 1.38013074, 3.34108026, 6.36944641]"
4471,1.135414869309231,5,5,5,5.5,5.502443307287198,4.992512656131608,0.01634453092932141,0.014618620695077585,0.5,1000,1000,"[1.9042865, 2.83989113, 6.10200123, 6.2921917]"
4472,1.0858704646082098,5,5,5,5.5,5.015091163871985,4.997267961113792,0.015449077064171958,0.013703234911973403,0.5,1000,1000,"[0.24783128, 2.52700119, 4.79305406, 5.79621597]"
4473,1.1149880582197542,5,5,5,5.5,5.512660820113065,5.007952631311599,0.0328217707858193,0.029569460477107255,0.5,1000,1000,"[6.2921917, 30]"
4474,1.1832460410949017,5,5,5,5.5,5.494002032501186,5.007122680123313,0.03214151467982515,0.02883698472140735,0.5,1000,1000,"[6.10200123, 30]"
4475,0.9132658235232939,5,5,5,5.5,5.500622721842622,4.968545435865443,0.03218705524473555,0.028895016104709962,0.5,1000,1000,"[2.83989113, 30]"
4476,1.0847477267947476,5,5,5,5.5,5.507430836388999,4.981302797863322,0.034180737477644635,0.030765902114236608,0.5,1000,1000,"[1.9042865, 30]"
4477,1.376483232121105,5,5,5,5.5,5.90909647374739,4.992387976423367,0.08450544285569646,0.07572468424942957,0.5,1000,1000,"[6.36944641, 30]"
4478,1.0504895360782363,5,5,5,5.5,5.056983608606753,5.005612597203136,0.03149659963175562,0.028030699692541752,0.5,1000,1000,"[5.79621597, 30]"
4479,1.0155022403037917,5,5,5,5.5,4.994587851673403,5.007594142510221,0.03021990995802082,0.026848502976672302,0.5,1000,1000,"[4.79305406, 30]"
4480,1.1192814057730043,5,5,5,5.5,4.338098000064897,22.62060563453595,,,0.5,1000,1000,"[3.34108026, 30]"
4481,1.1206126750523306,5,5,5,5.5,5.001813843197747,4.99152126194454,0.03385529108849671,0.030155021882906433,0.5,1000,1000,"[2.52700119, 30]"
4482,1.1998344174734752,5,5,5,5.5,5.947312374043196,5.034530060739534,0.10337017794599557,0.09286090259181902,0.5,1000,1000,"[1.38013074, 30]"
4483,1.017735805298456,5,5,5,5.5,3.1816875612241566,6.936579408136604,0.3468570472493928,0.3752866549384758,0.5,1000,1000,"[0.69039098, 30]"
4484,1.0145931294534951,5,5,5,5.5,5.004904971853729,4.984560888943514,0.031583090844296544,0.028120617532098664,0.5,1000,1000,"[0.24783128, 30]"
4485,0.990955905438531,5,5,5,5.1,-2.2421134557504385,6.132436171267835,977.2580096261024,0.2153332848789317,0.1,1000,1000,"[0.69039098, 1.38013074, 3.34108026, 6.36944641]"
4486,1.085136918684618,5,5,5,5.1,5.083956366190676,5.013826627421578,0.014638335104318475,0.014554410179169707,0.1,1000,1000,"[1.9042865, 2.83989113, 6.10200123, 6.2921917]"
4487,1.146661242597731,5,5,5,5.1,5.006445800517757,5.023305233010389,0.015228864960929343,0.01517544624146172,0.1,1000,1000,"[0.24783128, 2.52700119, 4.79305406, 5.79621597]"
4488,1.038760358714049,5,5,5,5.1,5.062859744719205,4.996666970576604,0.028893476608588108,0.028703814551211848,0.1,1000,1000,"[6.2921917, 30]"
4489,0.9506570166392692,5,5,5,5.1,5.115661873531577,5.003548213780429,0.026147488538703134,0.025990369271149342,0.1,1000,1000,"[6.10200123, 30]"
4490,1.0413323459833064,5,5,5,5.1,5.108407616289529,5.034293979305632,0.031069294813646762,0.030887586022238178,0.1,1000,1000,"[2.83989113, 30]"
4491,0.9168449768424418,5,5,5,5.1,5.044678840043824,5.019468665193859,0.028769719367263153,0.02867427792051528,0.1,1000,1000,"[1.9042865, 30]"
4492,1.0450941188592746,5,5,5,5.1,6.443127771813085,3.323894588110409,0.3298170760523662,0.3512505044007626,0.1,1000,1000,"[6.36944641, 30]"
4493,1.0022049660338532,5,5,5,5.1,5.0076896212653095,4.985345505934011,0.0294724009348519,0.029302439707235187,0.1,1000,1000,"[5.79621597, 30]"
4494,1.0968837152860882,5,5,5,5.1,5.003880505235272,5.052171143208683,0.031141426123941357,0.030996794172356807,0.1,1000,1000,"[4.79305406, 30]"
4495,0.9098954244920255,5,5,5,5.1,-3.449743085695137,3.346605931120714,10448.784734082066,0.32277829528808094,0.1,1000,1000,"[3.34108026, 30]"
4496,1.0012825078702225,5,5,5,5.1,5.009398518469382,5.027205123208183,0.02881081170500507,0.028664820661841884,0.1,1000,1000,"[2.52700119, 30]"
4497,0.9507534254360389,5,5,5,5.1,3.5348671959337867,4.260407525370984,0.28364475898518293,0.28218475339980903,0.1,1000,1000,"[1.38013074, 30]"
4498,0.88143813675872,5,5,5,5.1,3.5373852483358417,6.074714648336205,0.3389748699640611,0.32892665715965447,0.1,1000,1000,"[0.69039098, 30]"
4499,0.9905377489052045,5,5,5,5.1,5.0088295098359055,5.031711255848677,0.030586490451353792,0.03039942543086923,0.1,1000,1000,"[0.24783128, 30]"
